Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2024-01-01,446,19727,371,10612,357
2024-01-02,386,19707,403,10658,357
2024-01-03,373,19717,353,10652,359
2024-01-04,409,19766,359,10686,325
2024-01-05,436,19784,415,10787,314
2024-01-06,381,19774,389,10885,291
2024-01-07,400,19788,392,11018,259
2024-01-08,447,19859,384,11024,378
2024-01-09,433,19874,420,11051,393
2024-01-10,439,19931,379,11039,391
2024-01-11,414,19917,430,11109,360
2024-01-12,391,19926,374,11096,387
2024-01-13,378,19952,360,11147,309
2024-01-14,375,19976,344,11183,308
2024-01-15,374,20000,346,11175,354
2024-01-16,448,20044,403,11210,368
2024-01-17,460,20083,412,11237,385
2024-01-18,493,20107,470,11305,402
2024-01-19,442,20108,440,11370,375
2024-01-20,457,20126,443,11500,313
2024-01-21,354,20108,365,11588,277
2024-01-22,467,20167,405,11602,391
2024-01-23,491,20181,478,11709,371
2024-01-24,407,20147,433,11736,406
2024-01-25,473,20204,426,11778,384
2024-01-26,472,20204,472,11876,374
2024-01-27,440,20181,454,11995,335
2024-01-28,428,20182,417,12104,308
2024-01-29,456,20205,434,12129,409
2024-01-30,494,20240,450,12131,448
2024-01-31,455,20273,432,12162,401
2024-02-01,509,20321,459,12215,406
2024-02-02,467,20330,468,12255,428
2024-02-03,394,20333,381,12330,306
2024-02-04,460,20382,412,12442,300
2024-02-05,501,20433,450,12453,439
2024-02-06,486,20446,473,12512,414
2024-02-07,497,20476,472,12579,405
2024-02-08,462,20489,446,12594,431
2024-02-09,505,20527,458,12642,410
2024-02-10,436,20569,402,12680,364
2024-02-11,397,20588,373,12678,375
2024-02-12,530,20645,474,12722,430
2024-02-13,515,20685,483,12824,381
2024-02-14,559,20705,544,12950,418
2024-02-15,519,20721,512,13026,436
2024-02-16,532,20725,518,13120,424
2024-02-17,478,20721,477,13258,339
2024-02-18,492,20765,448,13335,371
2024-02-19,540,20805,493,13391,437
2024-02-20,566,20859,504,13479,416
2024-02-21,583,20899,542,13563,458
2024-02-22,513,20867,548,13643,468
2024-02-23,484,20894,464,13659,448
2024-02-24,444,20936,403,13687,375
2024-02-25,499,20974,460,13760,387
2024-02-26,582,21023,541,13889,412
2024-02-27,607,21068,571,13995,465
2024-02-28,540,21056,561,14082,474
2024-02-29,593,21089,552,14166,468
2024-03-01,569,21062,591,14315,442
2024-03-02,431,21026,467,14420,362
2024-03-03,463,21054,432,14467,385
2024-03-04,550,21098,497,14509,455
2024-03-05,543,21102,534,14539,504
2024-03-06,557,21142,510,14544,505
2024-03-07,600,21219,531,14605,470
2024-03-08,550,21217,543,14651,497
2024-03-09,488,21201,497,14739,409
2024-03-10,503,21256,455,14771,423
2024-03-11,653,21356,553,14851,473
2024-03-12,571,21370,567,14919,499
2024-03-13,619,21386,598,14999,518
2024-03-14,602,21402,593,15092,500
2024-03-15,590,21450,540,15134,498
2024-03-16,489,21434,512,15224,422
2024-03-17,517,21478,474,15276,422
2024-03-18,604,21535,552,15340,488
2024-03-19,607,21559,578,15439,479
2024-03-20,555,21578,538,15457,520
2024-03-21,557,21599,534,15451,540
2024-03-22,628,21644,584,15478,557
2024-03-23,522,21633,537,15608,407
2024-03-24,524,21654,496,15673,431
2024-03-25,637,21726,572,15748,497
2024-03-26,640,21761,607,15819,536
2024-03-27,631,21811,588,15894,513
2024-03-28,568,21827,551,15918,527
2024-03-29,671,21873,616,16043,491
2024-03-30,529,21852,559,16195,407
2024-03-31,567,21869,554,16282,467
2024-04-01,693,21915,641,16383,540
2024-04-02,640,21930,628,16450,561
2024-04-03,676,21965,641,16517,574
2024-04-04,680,22011,626,16567,576
2024-04-05,651,22068,600,16624,543
2024-04-06,489,22037,529,16731,422
2024-04-07,516,22074,487,16756,462
2024-04-08,603,22141,529,16700,585
2024-04-09,625,22178,595,16725,570
2024-04-10,678,22250,604,16785,544
2024-04-11,661,22279,630,16855,560
2024-04-12,614,22284,611,16859,607
2024-04-13,557,22303,543,16931,471
2024-04-14,592,22351,534,17024,441
2024-04-15,684,22422,606,17023,607
2024-04-16,664,22450,635,17065,593
2024-04-17,643,22473,623,17129,559
2024-04-18,640,22512,605,17150,584
2024-04-19,694,22569,638,17246,542
2024-04-20,563,22563,564,17313,497
2024-04-21,566,22620,515,17338,490
2024-04-22,655,22683,588,17334,592
2024-04-23,639,22697,616,17366,584
2024-04-24,686,22758,623,17421,568
2024-04-25,673,22805,616,17425,612
2024-04-26,654,22818,645,17467,603
2024-04-27,598,22836,575,17577,465
2024-04-28,563,22854,537,17641,473
2024-04-29,677,22914,613,17640,614
2024-04-30,676,22961,625,17675,590
2024-05-01,679,22961,669,17746,598
2024-05-02,640,22974,622,17774,594
2024-05-03,652,23011,614,17755,633
2024-05-04,544,23022,531,17821,465
2024-05-05,564,23068,522,17846,497
2024-05-06,644,23120,601,17855,592
2024-05-07,660,23182,599,17857,597
2024-05-08,622,23207,596,17856,597
2024-05-09,664,23224,657,17890,623
2024-05-10,643,23249,628,17928,590
2024-05-11,500,23224,522,17952,498
2024-05-12,588,23310,511,17990,473
2024-05-13,663,23373,605,17988,607
2024-05-14,670,23413,633,18044,577
2024-05-15,673,23486,596,18067,573
2024-05-16,627,23489,631,18106,592
2024-05-17,627,23507,608,18113,601
2024-05-18,575,23549,540,18157,496
2024-05-19,557,23570,543,18195,505
2024-05-20,647,23644,573,18165,603
2024-05-21,630,23668,609,18124,650
2024-05-22,649,23719,596,18131,589
2024-05-23,629,23750,608,18126,613
2024-05-24,590,23776,556,18086,596
2024-05-25,545,23777,550,18124,512
2024-05-26,539,23792,518,18141,501
2024-05-27,651,23885,562,18080,623
2024-05-28,668,23896,652,18121,611
2024-05-29,608,23922,592,18114,599
2024-05-30,660,23964,614,18119,609
2024-05-31,618,23971,603,18137,585
2024-06-01,553,23968,559,18246,450
2024-06-02,570,24002,532,18278,500
2024-06-03,621,24088,535,18198,615
2024-06-04,597,24106,576,18163,611
2024-06-05,633,24119,619,18159,623
2024-06-06,642,24153,599,18155,603
2024-06-07,616,24169,606,18166,595
2024-06-08,512,24121,560,18275,451
2024-06-09,553,24160,510,18266,519
2024-06-10,664,24228,593,18249,610
2024-06-11,613,24239,592,18239,602
2024-06-12,605,24272,563,18168,634
2024-06-13,586,24287,578,18155,591
2024-06-14,586,24300,563,18106,612
2024-06-15,526,24308,522,18154,474
2024-06-16,534,24357,495,18154,495
2024-06-17,629,24414,565,18118,601
2024-06-18,584,24427,564,18080,602
2024-06-19,564,24449,541,18007,614
2024-06-20,604,24489,562,17952,617
2024-06-21,627,24565,552,17906,598
2024-06-22,481,24517,525,17939,492
2024-06-23,488,24557,445,17867,517
2024-06-24,588,24603,547,17835,579
2024-06-25,592,24635,566,17774,627
2024-06-26,601,24655,585,17778,581
2024-06-27,601,24690,570,17716,632
2024-06-28,592,24697,586,17735,567
2024-06-29,494,24693,491,17716,510
2024-06-30,508,24706,505,17729,492
2024-07-01,581,24753,538,17657,610
2024-07-02,562,24776,539,17622,574
2024-07-03,575,24800,555,17588,589
2024-07-04,587,24828,569,17595,562
2024-07-05,571,24851,542,17549,588
2024-07-06,463,24832,485,17561,473
2024-07-07,493,24885,448,17537,472
2024-07-08,537,24928,484,17419,602
2024-07-09,582,24991,513,17370,562
2024-07-10,549,24987,545,17346,569
2024-07-11,542,25005,530,17291,585
2024-07-12,508,25057,456,17188,559
2024-07-13,417,25058,425,17122,491
2024-07-14,473,25112,429,17067,484
2024-07-15,496,25133,482,16955,594
2024-07-16,507,25134,512,16894,573
2024-07-17,554,25197,486,16792,588
2024-07-18,536,25207,517,16692,617
2024-07-19,488,25218,479,16623,548
2024-07-20,448,25257,413,16575,461
2024-07-21,460,25275,442,16549,468
2024-07-22,531,25334,475,16476,548
2024-07-23,539,25352,513,16423,566
2024-07-24,443,25369,433,16337,519
2024-07-25,512,25398,483,16276,544
2024-07-26,505,25426,484,16192,568
2024-07-27,423,25440,410,16164,438
2024-07-28,405,25454,391,16130,425
2024-07-29,468,25482,439,16046,523
2024-07-30,480,25491,476,15957,565
2024-07-31,509,25512,491,15891,557
2024-08-01,502,25524,492,15807,576
2024-08-02,488,25513,495,15773,529
2024-08-03,390,25536,375,15696,452
2024-08-04,437,25557,420,15717,399
2024-08-05,416,25565,414,15586,545
2024-08-06,463,25627,404,15455,535
2024-08-07,438,25669,391,15330,516
2024-08-08,454,25700,417,15209,538
2024-08-09,478,25745,435,15144,500
2024-08-10,353,25706,389,15129,404
2024-08-11,444,25738,406,15128,407
2024-08-12,469,25761,452,15082,498
2024-08-13,481,25782,467,15067,482
2024-08-14,430,25803,418,14986,499
2024-08-15,401,25816,398,14886,498
2024-08-16,450,25865,408,14800,494
2024-08-17,344,25840,374,14760,414
2024-08-18,311,25865,289,14667,382
2024-08-19,379,25941,306,14489,484
2024-08-20,434,25989,376,14384,481
2024-08-21,425,25992,417,14313,488
2024-08-22,454,26022,418,14234,497
2024-08-23,381,26014,380,14104,510
2024-08-24,330,26009,344,14043,405
2024-08-25,315,26011,320,14006,357
2024-08-26,382,26042,350,13888,468
2024-08-27,395,26078,359,13767,480
2024-08-28,407,26102,381,13674,474
2024-08-29,445,26125,419,13651,442
2024-08-30,427,26163,399,13610,440
2024-08-31,355,26153,361,13615,356
2024-09-01,324,26142,327,13567,375
2024-09-02,399,26206,338,13451,454
2024-09-03,379,26202,378,13391,438
2024-09-04,370,26223,343,13257,477
2024-09-05,433,26268,397,13165,489
2024-09-06,392,26295,370,13113,422
2024-09-07,322,26297,312,13065,360
2024-09-08,291,26291,289,12987,367
2024-09-09,370,26353,315,12875,427
2024-09-10,361,26367,347,12776,446
2024-09-11,351,26380,347,12760,363
2024-09-12,343,26366,347,12729,378
2024-09-13,373,26384,352,12631,450
2024-09-14,280,26393,271,12594,308
2024-09-15,264,26376,274,12545,323
2024-09-16,369,26439,307,12388,464
2024-09-17,317,26444,317,12248,457
2024-09-18,359,26464,332,12146,434
2024-09-19,373,26462,382,12148,380
2024-09-20,332,26456,334,12047,435
2024-09-21,303,26466,286,11995,338
2024-09-22,328,26477,320,12012,303
2024-09-23,297,26504,264,11841,435
2024-09-24,337,26525,311,11753,399
2024-09-25,337,26569,301,11640,414
2024-09-26,277,26578,270,11507,403
2024-09-27,320,26601,290,11439,358
2024-09-28,265,26622,252,11403,288
2024-09-29,318,26650,291,11376,318
2024-09-30,313,26653,302,11313,365
2024-10-01,305,26634,326,11283,356
2024-10-02,337,26675,290,11190,383
2024-10-03,312,26716,278,11100,368
2024-10-04,345,26765,306,10994,412
2024-10-05,219,26713,278,10966,306
2024-10-06,250,26720,245,10906,305
2024-10-07,247,26739,227,10759,374
2024-10-08,344,26802,291,10703,347
2024-10-09,311,26808,300,10637,366
2024-10-10,348,26844,320,10588,369
2024-10-11,329,26885,295,10552,331
2024-10-12,260,26869,269,10527,294
2024-10-13,262,26865,266,10526,267
2024-10-14,325,26895,287,10444,369
2024-10-15,312,26918,293,10400,337
2024-10-16,325,26950,301,10363,338
2024-10-17,277,26941,289,10296,356
2024-10-18,309,26973,287,10268,315
2024-10-19,200,26928,239,10236,271
2024-10-20,223,26963,187,10142,281
2024-10-21,275,27005,243,10075,310
2024-10-22,256,27013,255,10001,329
2024-10-23,298,27030,291,9949,343
2024-10-24,288,27014,294,9906,337
2024-10-25,296,27058,260,9832,334
2024-10-26,245,27062,248,9771,309
2024-10-27,195,27051,207,9746,232
2024-10-28,313,27127,231,9671,306
2024-10-29,251,27116,264,9612,323
2024-10-30,282,27148,259,9497,374
2024-10-31,262,27172,232,9422,307
2024-11-01,283,27167,282,9397,307
2024-11-02,232,27179,221,9330,288
2024-11-03,245,27192,229,9290,269
2024-11-04,293,27222,264,9276,278
2024-11-05,312,27252,292,9261,307
2024-11-06,258,27232,284,9245,300
2024-11-07,260,27255,245,9206,284
2024-11-08,292,27263,285,9219,272
2024-11-09,204,27230,234,9196,257
2024-11-10,209,27245,195,9164,227
2024-11-11,277,27291,225,9096,293
2024-11-12,257,27299,255,9054,297
2024-11-13,261,27301,252,8985,321
2024-11-14,260,27327,234,8922,297
2024-11-15,246,27340,228,8849,301
2024-11-16,216,27350,203,8787,265
2024-11-17,241,27351,231,8756,262
2024-11-18,285,27382,249,8712,293
2024-11-19,290,27387,293,8720,285
2024-11-20,242,27405,223,8637,306
2024-11-21,269,27447,232,8593,276
2024-11-22,298,27457,297,8585,305
2024-11-23,259,27461,261,8641,205
2024-11-24,230,27439,252,8635,258
2024-11-25,261,27444,250,8587,298
2024-11-26,290,27469,271,8585,273
2024-11-27,235,27478,235,8540,280
2024-11-28,237,27516,206,8470,276
2024-11-29,278,27562,241,8426,285
2024-11-30,235,27569,238,8454,210
2024-12-01,248,27573,247,8493,208
2024-12-02,287,27577,285,8514,264
2024-12-03,318,27588,315,8564,265
2024-12-04,293,27595,291,8563,292
2024-12-05,228,27574,256,8518,301
2024-12-06,270,27587,247,8488,277
2024-12-07,235,27565,257,8513,232
2024-12-08,232,27575,225,8516,222
2024-12-09,271,27594,253,8500,269
2024-12-10,229,27623,202,8416,286
2024-12-11,263,27646,241,8397,260
2024-12-12,263,27665,243,8389,251
2024-12-13,271,27681,248,8349,288
2024-12-14,247,27697,226,8329,246
2024-12-15,266,27720,252,8390,191
2024-12-16,282,27757,240,8370,260
2024-12-17,319,27782,299,8423,246
2024-12-18,321,27798,297,8439,281
2024-12-19,322,27836,286,8462,263
2024-12-20,277,27856,266,8412,316
2024-12-21,270,27850,266,8429,249
2024-12-22,267,27848,275,8476,228
2024-12-23,310,27891,264,8470,270
2024-12-24,277,27910,259,8445,284
2024-12-25,307,27910,309,8414,340
2024-12-26,293,27916,295,8426,283
2024-12-27,314,27956,281,8467,240
2024-12-28,253,27928,289,8556,200
2024-12-29,317,27966,275,8572,259
2024-12-30,290,27957,289,8575,286
2024-12-31,342,27987,311,8594,292
2025-01-01,310,27991,312,8578,328
2025-01-02,304,28001,298,8612,264
2025-01-03,351,28037,312,8633,291
2025-01-04,208,28022,231,8624,240
2025-01-05,292,28078,234,8598,260
2025-01-06,339,28086,328,8639,287
2025-01-07,334,28117,304,8656,287
2025-01-08,328,28118,319,8698,277
2025-01-09,297,28108,307,8672,333
2025-01-10,358,28170,304,8682,294
2025-01-11,275,28115,326,8786,222
2025-01-12,284,28132,263,8851,198
2025-01-13,344,28151,334,8910,275
2025-01-14,373,28181,348,8954,304
2025-01-15,309,28198,299,8915,338
2025-01-16,330,28239,297,8900,312
2025-01-17,365,28289,321,8925,296
2025-01-18,311,28294,309,8995,239
2025-01-19,264,28295,269,9043,221
2025-01-20,391,28350,329,9090,282
2025-01-21,344,28357,327,9098,319
2025-01-22,356,28400,322,9123,297
2025-01-23,367,28428,337,9152,308
2025-01-24,387,28471,349,9206,295
2025-01-25,282,28443,311,9280,237
2025-01-26,326,28502,275,9295,260
2025-01-27,347,28551,296,9271,320
2025-01-28,337,28553,329,9299,301
2025-01-29,365,28584,337,9390,246
2025-01-30,371,28595,360,9455,295
2025-01-31,377,28636,343,9477,321
2025-02-01,311,28618,325,9538,264
2025-02-02,330,28667,291,9543,286
2025-02-03,402,28721,355,9559,339
2025-02-04,398,28735,374,9628,305
2025-02-05,395,28771,367,9697,298
2025-02-06,353,28779,340,9695,342
2025-02-07,384,28822,345,9693,347
2025-02-08,348,28836,333,9812,214
2025-02-09,345,28838,343,9910,245
2025-02-10,363,28855,348,9921,337
2025-02-11,387,28878,364,9940,345
2025-02-12,375,28921,341,9957,324
2025-02-13,383,28973,332,9941,348
2025-02-14,401,29022,356,9974,323
2025-02-15,349,28996,373,10072,275
2025-02-16,379,29026,341,10135,278
2025-02-17,431,29042,420,10188,367
2025-02-18,404,29056,392,10304,276
2025-02-19,399,29050,397,10338,363
2025-02-20,384,29089,344,10331,351
2025-02-21,455,29150,400,10381,350
2025-02-22,356,29138,369,10457,293
2025-02-23,337,29196,286,10451,292
2025-02-24,450,29260,380,10450,381
2025-02-25,415,29270,415,10490,375
2025-02-26,424,29329,368,10534,324
2025-02-27,421,29362,395,10558,371
2025-02-28,430,29380,411,10625,344
2025-03-01,378,29375,377,10713,289
2025-03-02,350,29359,356,10787,282
2025-03-03,407,29402,367,10809,345
2025-03-04,445,29447,390,10849,350
2025-03-05,432,29450,426,10925,350
2025-03-06,460,29464,448,11000,373
2025-03-07,425,29461,434,11052,382
2025-03-08,379,29495,343,11102,293
2025-03-09,416,29516,387,11207,282
2025-03-10,454,29551,429,11281,355
2025-03-11,455,29580,426,11351,356
2025-03-12,457,29610,434,11351,434
2025-03-13,459,29640,433,11393,391
2025-03-14,449,29664,419,11416,396
2025-03-15,385,29689,365,11454,327
2025-03-16,413,29711,382,11544,292
2025-03-17,498,29763,448,11607,385
2025-03-18,483,29771,471,11676,402
2025-03-19,448,29780,436,11718,394
2025-03-20,410,29758,429,11754,393
2025-03-21,455,29828,391,11742,403
2025-03-22,383,29833,380,11810,312
2025-03-23,373,29849,348,11812,346
2025-03-24,465,29917,390,11806,396
2025-03-25,503,29942,474,11844,436
2025-03-26,487,29966,466,11918,392
2025-03-27,483,29987,459,11967,410
2025-03-28,478,30014,456,12026,397
2025-03-29,386,30005,400,12114,312
2025-03-30,429,30041,403,12171,346
2025-03-31,483,30067,450,12192,429
2025-04-01,488,30093,469,12244,417
2025-04-02,435,30087,437,12290,391
2025-04-03,501,30128,454,12332,412
2025-04-04,485,30159,461,12404,389
2025-04-05,400,30154,400,12484,320
2025-04-06,400,30213,350,12487,347
2025-04-07,508,30278,435,12524,398
2025-04-08,476,30287,471,12597,398
2025-04-09,518,30330,477,12655,419
2025-04-10,432,30341,430,12673,412
2025-04-11,487,30368,467,12709,431
2025-04-12,395,30360,397,12792,314
2025-04-13,394,30398,366,12814,344
2025-04-14,496,30455,433,12822,425
2025-04-15,489,30467,470,12871,421
2025-04-16,488,30522,438,12893,416
2025-04-17,449,30533,436,12883,446
2025-04-18,493,30570,452,12906,429
2025-04-19,381,30571,372,12955,323
2025-04-20,421,30625,370,12948,377
2025-04-21,509,30697,428,12934,442
2025-04-22,472,30702,466,12964,436
2025-04-23,505,30740,473,12976,461
2025-04-24,513,30784,475,13018,433
2025-04-25,472,30805,446,13051,413
2025-04-26,404,30811,406,13137,320
2025-04-27,398,30819,393,13164,366
2025-04-28,481,30866,434,13138,460
2025-04-29,474,30912,437,13152,423
2025-04-30,499,30965,446,13100,498
2025-05-01,505,31016,464,13154,410
2025-05-02,508,31054,466,13195,425
2025-05-03,393,31018,427,13278,344
2025-05-04,436,31046,399,13316,361
2025-05-05,524,31112,464,13305,475
2025-05-06,530,31094,544,13400,449
2025-05-07,493,31107,478,13407,471
2025-05-08,475,31136,439,13407,439
2025-05-09,512,31166,476,13437,446
2025-05-10,466,31173,458,13515,380
2025-05-11,435,31172,432,13583,364
2025-05-12,449,31205,424,13563,444
2025-05-13,493,31262,446,13564,445
2025-05-14,526,31297,482,13594,452
2025-05-15,507,31326,481,13654,421
2025-05-16,512,31356,492,13698,448
2025-05-17,445,31393,418,13741,375
2025-05-18,386,31401,385,13747,379
2025-05-19,464,31454,408,13676,479
2025-05-20,515,31467,511,13729,458
2025-05-21,474,31483,461,13734,456
2025-05-22,507,31524,474,13741,467
2025-05-23,481,31556,447,13706,482
2025-05-24,422,31550,422,13766,362
2025-05-25,390,31560,382,13782,366
2025-05-26,466,31626,397,13738,441
2025-05-27,479,31646,462,13759,441
2025-05-28,528,31674,503,13784,478
2025-05-29,465,31669,471,13796,459
2025-05-30,472,31720,430,13707,519
2025-05-31,421,31757,393,13724,376
2025-06-01,406,31769,395,13758,361
2025-06-02,494,31797,458,13749,467
2025-06-03,476,31781,491,13793,447
2025-06-04,508,31809,473,13811,455
2025-06-05,495,31838,462,13781,492
2025-06-06,476,31836,476,13821,436
2025-06-07,383,31790,419,13866,374
2025-06-08,354,31781,369,13847,388
2025-06-09,467,31859,398,13746,499
2025-06-10,458,31853,454,13712,488
2025-06-11,475,31901,428,13718,422
2025-06-12,462,31932,441,13741,418
2025-06-13,503,31996,439,13720,460
2025-06-14,352,31951,389,13727,382
2025-06-15,411,32016,336,13678,385
2025-06-16,507,32066,456,13685,449
2025-06-17,473,32072,468,13678,475
2025-06-18,436,32077,437,13657,458
2025-06-19,456,32098,425,13604,478
2025-06-20,503,32150,448,13571,481
2025-06-21,419,32148,423,13633,361
2025-06-22,337,32150,345,13616,362
2025-06-23,417,32213,353,13521,448
2025-06-24,458,32265,413,13461,473
2025-06-25,464,32307,418,13442,437
2025-06-26,449,32341,421,13394,469
2025-06-27,419,32340,430,13393,431
2025-06-28,416,32374,382,13389,386
2025-06-29,376,32375,369,13407,351
2025-06-30,422,32441,359,13300,466
2025-07-01,421,32473,399,13290,409
2025-07-02,442,32504,407,13241,456
2025-07-03,432,32519,415,13239,417
2025-07-04,393,32547,374,13165,448
2025-07-05,392,32586,358,13142,381
2025-07-06,384,32586,389,13179,352
2025-07-07,391,32592,379,13134,424
2025-07-08,421,32618,398,13091,441
2025-07-09,406,32631,389,13020,460
2025-07-10,408,32662,381,12948,453
2025-07-11,384,32678,365,12859,454
2025-07-12,303,32663,327,12839,347
2025-07-13,315,32699,287,12752,374
2025-07-14,374,32740,324,12670,406
2025-07-15,394,32762,369,12619,420
2025-07-16,370,32765,358,12576,401
2025-07-17,382,32791,355,12514,417
2025-07-18,343,32782,351,12465,400
2025-07-19,335,32806,317,12448,334
2025-07-20,350,32849,317,12457,308
2025-07-21,396,32873,379,12395,441
2025-07-22,399,32887,389,12346,438
2025-07-23,384,32880,395,12352,389
2025-07-24,396,32907,379,12287,444
2025-07-25,351,32904,347,12232,402
2025-07-26,306,32917,285,12204,313
2025-07-27,310,32925,297,12193,308
2025-07-28,351,32942,329,12091,431
2025-07-29,349,32958,327,12022,396
2025-07-30,381,32970,372,12002,392
2025-07-31,400,32980,385,11988,399
2025-08-01,369,32979,366,11918,436
2025-08-02,303,32959,328,11921,325
2025-08-03,298,32978,284,11879,326
2025-08-04,386,33036,320,11797,402
2025-08-05,348,33049,342,11748,391
2025-08-06,383,33072,355,11721,382
2025-08-07,367,33059,371,11696,396
2025-08-08,349,33089,319,11635,380
2025-08-09,296,33091,297,11604,328
2025-08-10,286,33116,270,11530,344
2025-08-11,308,33152,276,11419,387
2025-08-12,311,33144,319,11347,391
2025-08-13,316,33143,309,11273,383
2025-08-14,282,33123,295,11181,387
2025-08-15,321,33170,280,11098,363
2025-08-16,284,33178,284,11074,308
2025-08-17,269,33200,239,11043,270
2025-08-18,325,33195,329,11025,347
2025-08-19,275,33177,291,11010,306
2025-08-20,304,33216,273,10905,378
2025-08-21,274,33224,271,10823,353
2025-08-22,313,33268,265,10745,343
2025-08-23,268,33276,270,10714,301
2025-08-24,221,33269,231,10627,318
2025-08-25,286,33307,255,10521,361
2025-08-26,287,33335,257,10449,329
2025-08-27,307,33376,272,10403,318
2025-08-28,286,33375,289,10331,361
2025-08-29,291,33402,254,10232,353
2025-08-30,235,33383,259,10252,239
2025-08-31,286,33439,240,10206,286
2025-09-01,302,33489,252,10106,352
2025-09-02,244,33466,258,10016,348
2025-09-03,269,33498,244,9941,319
2025-09-04,317,33529,286,9881,346
2025-09-05,233,33534,226,9733,374
2025-09-06,250,33566,220,9716,237
2025-09-07,201,33582,194,9655,255
2025-09-08,309,33617,273,9609,319
2025-09-09,254,33601,275,9558,326
2025-09-10,290,33638,252,9486,324
2025-09-11,292,33630,296,9441,341
2025-09-12,292,33644,268,9379,330
2025-09-13,174,33609,214,9323,270
2025-09-14,221,33655,175,9220,278
2025-09-15,303,33678,274,9227,267
2025-09-16,264,33676,268,9191,304
2025-09-17,231,33651,265,9146,310
2025-09-18,274,33681,235,9047,334
2025-09-19,282,33697,265,9013,299
2025-09-20,205,33685,213,8976,250
2025-09-21,233,33707,204,8917,263
2025-09-22,250,33710,240,8830,327
2025-09-23,253,33735,229,8764,295
2025-09-24,230,33742,222,8703,283
2025-09-25,240,33777,212,8584,331
2025-09-26,233,33789,226,8517,293
2025-09-27,202,33795,198,8478,237
2025-09-28,220,33803,220,8489,209
2025-09-29,213,33825,191,8389,291
2025-09-30,256,33882,206,8274,321
2025-10-01,265,33889,250,8272,252
2025-10-02,258,33935,216,8196,292
2025-10-03,248,33965,223,8171,248
2025-10-04,200,33957,217,8167,221
2025-10-05,221,33962,216,8121,262
2025-10-06,244,34017,193,8049,265
2025-10-07,231,34007,236,8000,285
2025-10-08,224,34011,228,7953,275
2025-10-09,236,34016,231,7950,234
2025-10-10,218,34022,211,7914,247
2025-10-11,186,34045,170,7855,229
2025-10-12,206,34040,203,7865,193
2025-10-13,262,34098,207,7827,245
2025-10-14,202,34090,207,7758,276
2025-10-15,255,34128,222,7751,229
2025-10-16,246,34124,250,7776,225
2025-10-17,204,34095,225,7696,305
2025-10-18,154,34108,150,7635,211
2025-10-19,160,34133,127,7554,208
2025-10-20,220,34165,196,7473,277
2025-10-21,196,34152,203,7425,251
2025-10-22,196,34168,189,7377,237
2025-10-23,207,34196,187,7332,232
2025-10-24,225,34239,185,7280,237
2025-10-25,126,34200,174,7258,196
2025-10-26,205,34234,165,7222,201
2025-10-27,205,34203,226,7236,212
2025-10-28,198,34239,163,7144,255
2025-10-29,224,34252,219,7119,244
2025-10-30,194,34246,202,7100,221
2025-10-31,225,34260,205,7055,250
2025-11-01,187,34244,204,7061,198
2025-11-02,165,34217,186,7056,191
2025-11-03,245,34250,206,7030,232
2025-11-04,180,34271,151,6922,259
2025-11-05,238,34287,226,6892,256
2025-11-06,184,34263,212,6885,219
2025-11-07,176,34275,168,6833,220
2025-11-08,188,34296,172,6819,186
2025-11-09,186,34320,168,6808,179
2025-11-10,264,34355,220,6802,226
2025-11-11,172,34335,185,6804,183
2025-11-12,177,34331,187,6747,244
2025-11-13,279,34384,224,6753,218
2025-11-14,210,34371,228,6760,221
2025-11-15,150,34366,147,6734,173
2025-11-16,147,34391,122,6687,169
2025-11-17,204,34426,173,6658,202
2025-11-18,206,34438,193,6649,202
2025-11-19,207,34454,200,6626,223
2025-11-20,168,34459,168,6575,219
2025-11-21,180,34481,157,6501,231
2025-11-22,144,34484,147,6464,184
2025-11-23,216,34506,192,6470,186
2025-11-24,225,34512,212,6468,214
2025-11-25,166,34514,158,6420,206
2025-11-26,190,34518,183,6357,246
2025-11-27,166,34507,168,6317,208
2025-11-28,220,34510,211,6279,249
2025-11-29,201,34538,176,6283,172
2025-11-30,161,34548,147,6249,181
2025-12-01,171,34565,145,6206,188
2025-12-02,181,34573,175,6165,216
2025-12-03,186,34589,177,6132,210
2025-12-04,253,34641,207,6124,215
2025-12-05,218,34646,217,6149,192
2025-12-06,198,34679,158,6150,157
2025-12-07,215,34710,187,6193,144
2025-12-08,195,34708,190,6160,223
2025-12-09,218,34712,218,6167,211
2025-12-10,178,34705,181,6168,180
2025-12-11,183,34714,169,6131,206
2025-12-12,225,34738,204,6129,206
2025-12-13,198,34739,201,6183,147
2025-12-14,221,34768,201,6211,173
2025-12-15,274,34777,261,6237,235
2025-12-16,214,34778,222,6260,199
2025-12-17,251,34798,241,6339,162
2025-12-18,201,34771,226,6371,194
2025-12-19,218,34759,222,6409,184
2025-12-20,151,34746,164,6378,195
2025-12-21,193,34743,194,6396,176
2025-12-22,208,34760,189,6364,221
2025-12-23,237,34773,220,6380,204
2025-12-24,224,34792,208,6374,214
2025-12-25,242,34794,244,6406,212
2025-12-26,225,34780,237,6417,226
2025-12-27,202,34790,197,6423,191
2025-12-28,231,34790,229,6490,162
2025-12-29,253,34802,243,6537,196
2025-12-30,228,34792,241,6567,211
2025-12-31,210,34775,219,6567,219
2026-01-01,244,34778,246,6603,210
2026-01-02,269,34789,259,6649,213
